City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
456,Khomeyn,33.6423,50.0789,64.63,34,0,2.57,IR,2022-09-13 03:00:54
457,Santa Isabel Do Rio Negro,-0.4139,-65.0192,71.29,98,100,2.42,BR,2022-09-13 03:00:54
458,Kjollefjord,70.9457,27.3465,41.05,87,100,6.91,NO,2022-09-13 03:00:55
459,Connersville,39.6412,-85.1411,63.12,77,98,8.01,US,2022-09-13 03:00:56
460,Medvedok,57.3891,50.0351,47.61,78,100,1.68,RU,2022-09-13 03:00:56
461,Morgan City,29.6994,-91.2068,77.02,83,49,8.34,US,2022-09-13 03:00:56
462,Shakawe,-18.3667,21.85,61.29,20,0,4.65,BW,2022-09-13 03:00:57
463,Bridlington,54.0831,-0.1919,52.9,79,86,13.0,GB,2022-09-13 03:00:57
464,Salina,38.8403,-97.6114,71.94,63,0,9.48,US,2022-09-13 02:59:35
465,Leshukonskoye,64.8989,45.7622,45.12,93,100,6.04,RU,2022-09-13 03:00:57
466,Lobito,-12.3481,13.5456,69.22,87,30,5.57,AO,2022-09-13 03:00:58
467,Ayna,-12.65,-73.9167,62.24,85,94,0.27,PE,2022-09-13 03:00:58
468,Huarmey,-10.0681,-78.1522,60.93,82,94,12.39,PE,2022-09-13 03:00:59
469,Salmas,38.1973,44.7653,62.89,36,0,3.69,IR,2022-09-13 03:00:59
470,Novopokrovka,49.8425,36.5477,50.54,92,100,9.8,UA,2022-09-13 03:01:00
471,Terrace,54.5163,-128.6035,59.94,73,39,1.81,CA,2022-09-13 03:01:00
472,Kalianget,-7.05,113.9333,84.92,61,0,10.87,ID,2022-09-13 03:01:00
473,Ngorongoro,-3.2397,35.4875,46.98,94,55,5.82,TZ,2022-09-13 03:01:01
474,Ocos,14.5094,-92.1933,80.47,77,100,2.48,GT,2022-09-13 03:01:01
475,Palasa,18.7667,84.4167,82.83,81,100,13.87,IN,2022-09-13 03:01:02
476,Midland,31.9974,-102.0779,80.49,53,0,4.61,US,2022-09-13 02:57:20
477,Chabahar,25.2919,60.643,81.0,84,43,8.59,IR,2022-09-13 03:01:02
478,Sainte-Maxime,43.3,6.6333,66.22,75,34,3.31,FR,2022-09-13 03:01:02
479,Garowe,8.4054,48.4845,73.94,64,82,23.04,SO,2022-09-13 03:01:03
480,Libourne,44.9167,-0.25,72.1,67,100,8.97,FR,2022-09-13 03:01:03
481,Ojinaga,29.5667,-104.4167,81.55,54,0,6.91,MX,2022-09-13 03:01:04
482,Rangkasbitung,-6.3591,106.2494,86.59,63,51,1.34,ID,2022-09-13 03:01:04
483,Albemarle,35.3501,-80.2001,74.5,98,0,0.0,US,2022-09-13 03:00:00
484,Ormara,25.2088,64.6357,82.13,81,7,8.75,PK,2022-09-13 03:01:05
485,Hammerfest,70.6634,23.6821,41.45,75,0,11.5,NO,2022-09-13 03:01:05
486,Ilo,-17.6394,-71.3375,57.99,87,81,9.44,PE,2022-09-13 03:01:05
487,Baykit,61.67,96.37,43.93,70,62,9.82,RU,2022-09-13 03:01:06
488,Harindanga,22.0383,88.3214,78.06,93,100,15.23,IN,2022-09-13 03:01:06
489,Prince George,53.9166,-122.753,64.62,73,0,2.3,CA,2022-09-13 02:58:56
490,Haifa,32.8156,34.9892,76.28,85,20,2.3,IL,2022-09-13 03:01:07
491,Tongren,27.7172,109.1853,88.47,45,0,5.35,CN,2022-09-13 03:01:07
492,Payo,-3.7508,103.6372,83.77,68,100,1.45,ID,2022-09-13 03:01:08
493,Pitimbu,-7.4706,-34.8086,74.43,82,22,10.89,BR,2022-09-13 03:01:08
494,Naze,28.3667,129.4833,80.73,85,35,16.87,JP,2022-09-13 03:01:09
495,Yar-Sale,66.8333,70.8333,41.38,91,100,8.66,RU,2022-09-13 03:01:09
496,Malakal,9.5334,31.6605,70.18,99,100,3.71,SS,2022-09-13 03:00:13
497,Praia,14.9215,-23.5087,78.89,83,100,12.5,CV,2022-09-13 03:01:10
498,Colares,38.7992,-9.4469,69.98,71,28,28.99,PT,2022-09-13 03:01:10
499,Bubaque,11.2833,-15.8333,80.37,80,99,15.82,GW,2022-09-13 03:01:11
500,Andenes,69.3143,16.1194,44.58,87,100,6.91,NO,2022-09-13 03:01:11
501,Fujin,47.26,132.0322,60.94,56,0,12.48,CN,2022-09-13 03:01:11
502,Baruun-Urt,46.6806,113.2792,74.1,24,0,9.19,MN,2022-09-13 03:01:12
503,Waipawa,-41.4122,175.5153,53.56,66,10,19.82,NZ,2022-09-13 03:02:12
504,Burnie,-41.0667,145.9167,51.94,41,2,5.61,AU,2022-09-13 03:02:13
505,Anchorage,61.2181,-149.9003,54.93,87,100,8.01,US,2022-09-13 03:00:02
506,Labytnangi,66.6572,66.4183,44.33,86,100,7.58,RU,2022-09-13 03:02:13
507,Ouadda,8.0777,22.4007,64.72,98,79,0.67,CF,2022-09-13 03:02:13
508,Kamaishi,39.2667,141.8833,79.75,71,90,6.2,JP,2022-09-13 03:01:55
509,Bosaso,11.2842,49.1816,91.0,42,93,14.7,SO,2022-09-13 03:02:14
510,Gbadolite,4.2833,21.0167,68.61,98,100,1.77,CD,2022-09-13 03:02:14
511,Ola,59.5833,151.2833,52.27,58,53,9.06,RU,2022-09-13 03:02:14
512,Isiolo,0.3546,37.5822,66.47,72,98,8.43,KE,2022-09-13 03:02:15
513,Araouane,18.9048,-3.5265,96.17,20,100,6.35,ML,2022-09-13 03:02:15
514,Portland,45.5234,-122.6762,71.64,73,20,5.75,US,2022-09-13 03:02:04
515,Ilinskiy,55.619,38.1182,48.61,81,0,7.0,RU,2022-09-13 03:02:16
516,Durban,-29.8579,31.0292,60.03,95,97,7.02,ZA,2022-09-13 03:02:16
517,Sabha,27.0377,14.4283,80.65,30,11,5.84,LY,2022-09-13 03:02:16
518,Ballarat,-37.5662,143.8496,53.31,41,9,3.33,AU,2022-09-13 03:02:17
519,Viru,-8.4167,-78.75,62.82,78,84,6.17,PE,2022-09-13 03:02:17
520,Farah,32.5,62.5,63.97,20,0,3.6,AF,2022-09-13 03:02:17
521,Antalaha,-14.9003,50.2788,67.15,83,66,6.62,MG,2022-09-13 03:02:18
522,Riyadh,24.6877,46.7219,88.0,12,1,4.97,SA,2022-09-13 03:01:56
523,La Palma,33.8464,-118.0467,81.81,69,0,11.5,US,2022-09-13 03:02:19
524,Baturaja,-4.1333,104.1667,84.54,62,100,1.88,ID,2022-09-13 03:02:19
525,Maxixe,-23.8597,35.3472,71.37,82,95,9.08,MZ,2022-09-13 03:02:20
526,Placido De Castro,-10.3353,-67.1856,80.8,50,3,2.37,BR,2022-09-13 03:02:20
527,Kabwe,-14.4469,28.4464,63.55,35,5,8.5,ZM,2022-09-13 03:02:21
528,Zheleznogorsk,52.331,35.3711,48.52,90,100,13.56,RU,2022-09-13 03:02:21
529,Newnan,33.3807,-84.7997,71.11,82,0,8.05,US,2022-09-13 03:00:26
530,Hrubieszow,50.805,23.8925,49.03,94,100,5.66,PL,2022-09-13 03:02:22
